patient_zip3,Region_grouped,Division_grouped,patient_state_grouped,num
480,Midwest,East North Central,MI,85
479,Midwest,East North Central,IN,7
478,Midwest,East North Central,IN,5
477,Midwest,East North Central,IN,1
476,Midwest,East North Central,IN,2
475,Midwest,East North Central,IN,3
474,Midwest,East North Central,IN,6
473,Midwest,East North Central,IN,9
472,Midwest,East North Central,IN,9
471,Midwest,East North Central,IN,15
470,Midwest,East North Central,IN,7
469,Midwest,East North Central,IN,13
468,Midwest,East North Central,IN,9
467,Midwest,East North Central,IN,10
466,Midwest,East North Central,IN,5
465,Midwest,East North Central,IN,19
464,Midwest,East North Central,IN,6
463,Midwest,East North Central,IN,29
462,Midwest,East North Central,IN,50
461,Midwest,East North Central,IN,27
460,Midwest,East North Central,IN,30
458,Midwest,East North Central,OH,14
457,Midwest,East North Central,OH,11
456,Midwest,East North Central,OH,11
455,Midwest,East North Central,OH,5
454,Midwest,East North Central,OH,29
453,Midwest,East North Central,OH,36
452,Midwest,East North Central,OH,32
451,Midwest,East North Central,OH,13
450,Midwest,East North Central,OH,20
449,Midwest,East North Central,OH,8
448,Midwest,East North Central,OH,22
447,Midwest,East North Central,OH,11
446,Midwest,East North Central,OH,22
445,Midwest,East North Central,OH,15
444,Midwest,East North Central,OH,12
443,Midwest,East North Central,OH,20
442,Midwest,East North Central,OH,30
441,Midwest,East North Central,OH,59
440,Midwest,East North Central,OH,52
439,Midwest,East North Central,OH,6
438,Midwest,East North Central,OH,4
437,Midwest,East North Central,OH,12
436,Midwest,East North Central,OH,19
435,Midwest,East North Central,OH,13
434,Midwest,East North Central,OH,11
433,Midwest,East North Central,OH,8
432,Midwest,East North Central,OH,38
431,Midwest,East North Central,OH,18
430,Midwest,East North Central,OH,48
427,South,East South Central,KY,9
426,South,East South Central,KY,3
425,South,East South Central,KY,2
424,South,East South Central,KY,4
423,South,East South Central,KY,8
422,South,East South Central,KY,6
421,South,East South Central,KY,11
420,South,East South Central,KY,6
418,South,East South Central,KY,1
417,South,East South Central,KY,2
416,South,East South Central,KY,1
415,South,East South Central,KY,2
414,South,East South Central,KY,2
413,South,East South Central,KY,2
412,South,East South Central,KY,2
411,South,East South Central,KY,5
410,South,East South Central,KY,20
409,South,East South Central,KY,4
408,South,East South Central,KY,2
407,South,East South Central,KY,7
406,South,East South Central,KY,3
405,South,East South Central,KY,26
404,South,East South Central,KY,13
403,South,East South Central,KY,9
402,South,East South Central,KY,38
401,South,East South Central,KY,7
400,South,East South Central,KY,12
398,South,South Atlantic,GA,7
397,South,East South Central,MS,1
396,South,East South Central,MS,2
395,South,East South Central,MS,6
394,South,East South Central,MS,5
393,South,East South Central,MS,2
392,South,East South Central,MS,8
391,South,East South Central,MS,9
390,South,East South Central,MS,10
389,South,East South Central,MS,3
388,South,East South Central,MS,2
387,South,East South Central,MS,3
386,South,East South Central,MS,9
385,South,East South Central,TN,4
384,South,East South Central,TN,5
383,South,East South Central,TN,4
382,South,East South Central,TN,3
381,South,East South Central,TN,12
380,South,East South Central,TN,5
379,South,East South Central,TN,4
378,South,East South Central,TN,8
377,South,East South Central,TN,6
376,South,East South Central,TN,4
374,South,East South Central,TN,2
373,South,East South Central,TN,2
372,South,East South Central,TN,3
371,South,East South Central,TN,11
370,South,East South Central,TN,9
368,South,East South Central,AL,5
366,South,East South Central,AL,2
365,South,East South Central,AL,4
363,South,East South Central,AL,1
361,South,East South Central,AL,1
359,South,East South Central,AL,2
358,South,East South Central,AL,3
357,South,East South Central,AL,2
356,South,East South Central,AL,4
354,South,East South Central,AL,1
352,South,East South Central,AL,4
351,South,East South Central,AL,1
350,South,East South Central,AL,4
349,South,South Atlantic,FL,12
347,South,South Atlantic,FL,14
346,South,South Atlantic,FL,20
344,South,South Atlantic,FL,5
342,South,South Atlantic,FL,28
341,South,South Atlantic,FL,4
339,South,South Atlantic,FL,20
338,South,South Atlantic,FL,18
337,South,South Atlantic,FL,25
336,South,South Atlantic,FL,26
335,South,South Atlantic,FL,18
334,South,South Atlantic,FL,31
333,South,South Atlantic,FL,14
332,South,South Atlantic,FL,1
331,South,South Atlantic,FL,69
330,South,South Atlantic,FL,55
329,South,South Atlantic,FL,13
328,South,South Atlantic,FL,24
327,South,South Atlantic,FL,14
326,South,East South Central,KY,1
325,South,South Atlantic,FL,9
324,South,South Atlantic,FL,7
323,South,South Atlantic,FL,7
322,South,South Atlantic,FL,24
321,South,South Atlantic,FL,9
320,South,South Atlantic,FL,11
319,South,South Atlantic,GA,6
318,South,South Atlantic,GA,3
317,South,South Atlantic,GA,26
316,South,South Atlantic,GA,9
315,South,South Atlantic,GA,21
314,South,South Atlantic,GA,19
313,South,South Atlantic,GA,8
312,South,South Atlantic,GA,5
310,South,South Atlantic,GA,26
309,South,South Atlantic,GA,10
308,South,South Atlantic,GA,6
307,South,South Atlantic,GA,12
306,South,South Atlantic,GA,22
305,South,South Atlantic,GA,24
304,South,South Atlantic,GA,11
303,South,South Atlantic,GA,43
302,South,South Atlantic,GA,43
301,South,South Atlantic,GA,46
300,South,South Atlantic,GA,95
299,South,South Atlantic,SC,4
298,South,South Atlantic,SC,6
297,South,South Atlantic,SC,10
296,South,South Atlantic,SC,18
295,South,South Atlantic,SC,8
294,South,South Atlantic,SC,9
293,South,South Atlantic,SC,5
292,South,South Atlantic,SC,7
291,South,South Atlantic,SC,8
290,South,South Atlantic,SC,8
288,South,South Atlantic,NC,2
287,South,South Atlantic,NC,9
286,South,South Atlantic,NC,6
285,South,South Atlantic,NC,4
284,South,South Atlantic,NC,7
283,South,South Atlantic,NC,11
282,South,South Atlantic,NC,16
281,South,South Atlantic,NC,6
280,South,South Atlantic,NC,13
279,South,South Atlantic,NC,4
278,South,South Atlantic,NC,5
277,South,South Atlantic,NC,3
276,South,South Atlantic,NC,8
275,South,South Atlantic,NC,16
274,South,South Atlantic,NC,5
273,South,South Atlantic,NC,2
272,South,South Atlantic,NC,9
271,South,South Atlantic,NC,6
270,South,South Atlantic,NC,6
267,South,South Atlantic,WV,2
265,South,South Atlantic,WV,1
264,South,South Atlantic,WV,1
262,South,South Atlantic,WV,3
260,South,South Atlantic,WV,2
259,South,South Atlantic,WV,2
256,South,South Atlantic,WV,1
254,South,South Atlantic,WV,1
253,South,South Atlantic,WV,1
252,South,South Atlantic,WV,1
251,South,South Atlantic,WV,1
248,South,South Atlantic,WV,3
246,South,South Atlantic,VA,5
245,South,South Atlantic,VA,13
244,South,South Atlantic,VA,5
243,South,South Atlantic,VA,5
242,South,South Atlantic,VA,5
241,South,South Atlantic,VA,10
240,South,South Atlantic,VA,13
239,South,South Atlantic,VA,7
238,South,South Atlantic,VA,20
237,South,South Atlantic,VA,2
236,South,South Atlantic,VA,15
235,South,South Atlantic,VA,12
234,South,South Atlantic,VA,24
233,South,South Atlantic,VA,12
232,South,South Atlantic,VA,22
231,South,South Atlantic,VA,14
230,South,South Atlantic,VA,14
229,South,South Atlantic,VA,8
228,South,South Atlantic,VA,9
227,South,South Atlantic,VA,4
226,South,South Atlantic,VA,6
225,South,South Atlantic,VA,3
224,South,South Atlantic,VA,7
223,South,South Atlantic,VA,5
222,South,South Atlantic,VA,4
221,South,South Atlantic,VA,13
220,South,South Atlantic,VA,10
217,South,South Atlantic,MD,7
216,South,South Atlantic,MD,2
215,South,South Atlantic,MD,3
212,South,South Atlantic,MD,9
211,South,South Atlantic,MD,6
210,South,South Atlantic,MD,6
209,South,South Atlantic,MD,3
208,South,South Atlantic,MD,7
207,South,South Atlantic,MD,7
206,South,South Atlantic,MD,3
201,South,South Atlantic,VA,20
200,South,South Atlantic,DC,15
199,South,South Atlantic,DE,15
198,South,South Atlantic,DE,4
197,South,South Atlantic,DE,3
196,Northeast,Middle Atlantic,PA,5
195,Northeast,Middle Atlantic,PA,3
194,Northeast,Middle Atlantic,PA,30
193,Northeast,Middle Atlantic,PA,12
191,Northeast,Middle Atlantic,PA,72
190,Northeast,Middle Atlantic,PA,45
189,Northeast,Middle Atlantic,PA,23
187,Northeast,Middle Atlantic,PA,2
186,Northeast,Middle Atlantic,PA,9
185,Northeast,Middle Atlantic,PA,3
184,Northeast,Middle Atlantic,PA,5
183,Northeast,Middle Atlantic,PA,10
182,Northeast,Middle Atlantic,PA,4
181,Northeast,Middle Atlantic,PA,7
180,Northeast,Middle Atlantic,PA,19
179,Northeast,Middle Atlantic,PA,3
178,Northeast,Middle Atlantic,PA,7
177,Northeast,Middle Atlantic,PA,6
176,Northeast,Middle Atlantic,PA,4
175,Northeast,Middle Atlantic,PA,8
174,Northeast,Middle Atlantic,PA,3
173,Northeast,Middle Atlantic,PA,10
172,Northeast,Middle Atlantic,PA,3
171,Northeast,Middle Atlantic,PA,6
170,Northeast,Middle Atlantic,PA,16
169,Northeast,Middle Atlantic,PA,1
168,Northeast,Middle Atlantic,PA,2
166,Northeast,Middle Atlantic,PA,2
165,Northeast,Middle Atlantic,PA,7
164,Northeast,Middle Atlantic,PA,3
163,Northeast,Middle Atlantic,PA,1
162,Northeast,Middle Atlantic,PA,1
161,Northeast,Middle Atlantic,PA,2
160,Northeast,Middle Atlantic,PA,3
159,Northeast,Middle Atlantic,PA,1
158,Northeast,Middle Atlantic,PA,1
157,Northeast,Middle Atlantic,PA,1
156,Northeast,Middle Atlantic,PA,7
154,Northeast,Middle Atlantic,PA,1
152,Northeast,Middle Atlantic,PA,8
151,Northeast,Middle Atlantic,PA,8
150,Northeast,Middle Atlantic,PA,3
149,Northeast,Middle Atlantic,NY,1
148,Northeast,Middle Atlantic,NY,5
147,Northeast,Middle Atlantic,NY,5
146,Northeast,Middle Atlantic,NY,17
145,Northeast,Middle Atlantic,NY,10
144,Northeast,Middle Atlantic,NY,5
143,Northeast,Middle Atlantic,NY,5
142,Northeast,Middle Atlantic,NY,44
141,Northeast,Middle Atlantic,NY,20
140,Northeast,Middle Atlantic,NY,36
139,Northeast,Middle Atlantic,NY,1
138,Northeast,Middle Atlantic,NY,6
137,Northeast,Middle Atlantic,NY,4
136,Northeast,Middle Atlantic,NY,8
135,Northeast,Middle Atlantic,NY,2
134,Northeast,Middle Atlantic,NY,6
133,Northeast,Middle Atlantic,NY,3
132,Northeast,Middle Atlantic,NY,6
131,Northeast,Middle Atlantic,NY,2
130,Northeast,Middle Atlantic,NY,5
129,Northeast,Middle Atlantic,NY,3
128,Northeast,Middle Atlantic,NY,15
127,Northeast,Middle Atlantic,NY,6
126,Northeast,Middle Atlantic,NY,2
125,Northeast,Middle Atlantic,NY,21
124,Northeast,Middle Atlantic,NY,9
123,Northeast,Middle Atlantic,NY,10
122,Northeast,Middle Atlantic,NY,12
121,Northeast,Middle Atlantic,NY,20
120,Northeast,Middle Atlantic,NY,23
119,Northeast,Middle Atlantic,NY,10
118,West,Mountain,AZ,1
117,Northeast,Middle Atlantic,NY,56
116,Northeast,Middle Atlantic,NY,6
115,Northeast,Middle Atlantic,NY,28
114,Northeast,Middle Atlantic,NY,40
113,Northeast,Middle Atlantic,NY,57
112,Northeast,Middle Atlantic,NY,142
111,Northeast,Middle Atlantic,NY,10
110,Northeast,Middle Atlantic,NY,12
109,Northeast,Middle Atlantic,NY,12
108,Northeast,Middle Atlantic,NY,6
107,Northeast,Middle Atlantic,NY,11
106,Northeast,Middle Atlantic,NY,4
105,Northeast,Middle Atlantic,NY,24
104,Northeast,Middle Atlantic,NY,81
103,Northeast,Middle Atlantic,NY,30
101,Northeast,Middle Atlantic,NY,2
